labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min	LAT	LON
mul_spaS_066	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.87085	-1.945233
mul_spaS_067	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.87085	-1.945233
mul_spaS_068	38.0052070617676	36.8384411800867	36.1808052062988	38.5380325317383	37.5686222033412	36.1806144714355	37.9691505432129	36.9104059416672	36.2767677307129	37.9725379943848	36.9122858946351	36.2741470336914	27.9179153442383	19.1381959038219	13.9147424697876	27.0112113952637	18.9742787657113	14.0115537643433	0.816521	0.142899	0.04034	0.011582	0.010027	0.00883	36.8747833	-1.8723
mul_spaS_069	38.0052070617676	36.8384411800867	36.1808052062988	38.5380325317383	37.5686222033412	36.1806144714355	37.9691505432129	36.9104059416672	36.2767677307129	37.9725379943848	36.9122858946351	36.2741470336914	27.9179153442383	19.1381959038219	13.9147424697876	27.0112113952637	18.9742787657113	14.0115537643433	0.816521	0.142899	0.04034	0.011582	0.010027	0.00883	36.8747833	-1.8723
mul_spaS_070	38.0052070617676	36.8384411800867	36.1808052062988	38.5380325317383	37.5686222033412	36.1806144714355	37.9691505432129	36.9104059416672	36.2767677307129	37.9725379943848	36.9122858946351	36.2741470336914	27.9179153442383	19.1381959038219	13.9147424697876	27.0112113952637	18.9742787657113	14.0115537643433	0.816521	0.142899	0.04034	0.011582	0.010027	0.00883	36.8747833	-1.8723
mul_spaS_073	38.0760078430176	36.8919441179297	36.1680526733398	38.3870162963867	37.1862771673678	36.1677284240723	38.0760078430176	36.9833383231327	36.3461799621582	38.0825233459473	36.9862142453248	36.3432235717773	28.0310306549072	19.2177872301518	13.882004737854	27.1275463104248	19.0819849211594	13.9130687713623	0.668938	0.12881	0.03977	0.006172	0.00598	0.005698	37.1634	-1.8164333
mul_spaS_075	38.07861328125	36.8961359002124	36.1702041625977	38.5323219299316	37.5810345038052	36.1698837280273	38.07861328125	36.9873556202856	36.3640403747559	38.0893440246582	36.989481818539	36.358211517334	28.0448722839355	19.2264563407021	13.8832569122314	27.1204929351807	19.0896487334679	13.8973007202148	0.641584	0.126494	0.039727	0.008274	0.007648	0.007219	37.184383	-1.8072
mul_spaS_079	38.0388069152832	36.8722863690606	36.1731376647949	38.1718063354492	36.9202357914256	36.1728286743164	38.0305213928223	36.956234030888	36.2901878356934	38.0512962341309	36.9592788170124	36.2882385253906	27.9921379089355	19.1839890808895	13.8640947341919	27.1088161468506	19.0484827041626	13.9660387039185	0.770255	0.138007	0.040384	0.271626	0.173306	0.070806	37.031117	-1.867417
mul_spaS_080	38.0760078430176	36.8919441179297	36.1680526733398	38.3870162963867	37.1862771673678	36.1677284240723	38.0760078430176	36.9833383231327	36.3461799621582	38.0825233459473	36.9862142453248	36.3432235717773	28.0310306549072	19.2177872301518	13.882004737854	27.1275463104248	19.0819849211594	13.9130687713623	0.668938	0.12881	0.03977	0.006172	0.00598	0.005698	37.1663	-1.813433
mul_spaS_084	38.0760078430176	36.8919441179297	36.1680526733398	38.3870162963867	37.1862771673678	36.1677284240723	38.0760078430176	36.9833383231327	36.3461799621582	38.0825233459473	36.9862142453248	36.3432235717773	28.0310306549072	19.2177872301518	13.882004737854	27.1275463104248	19.0819849211594	13.9130687713623	0.690998	0.131556	0.040044	0.60209	0.239185	0.040069	37.0981	-1.84065
mul_spaS_086	38.1041717529297	36.90390975996	36.1670341491699	38.5293235778809	37.6209418404745	36.1667327880859	38.1041717529297	36.9944936291925	36.3607063293457	38.1141357421875	36.9968381070543	36.3530120849609	28.0839443206787	19.2379804013789	13.882173538208	27.1548118591309	19.1049125868699	13.882173538208	0.641584	0.126494	0.039727	0.008274	0.007648	0.007219	37.247717	-1.754233
mul_spaS_091	38.1311454772949	36.9321803498542	36.1635131835938	38.3234939575195	37.1494869414312	36.1632270812988	38.0882110595703	37.021089040822	36.3782806396484	38.0933723449707	37.0231397431472	36.3689422607422	28.1944427490234	19.278290104592	13.8525772094727	27.2673282623291	19.1642984916424	13.9361219406128	0.654523	0.12827	0.040278	0.451608	0.31313	0.119373	37.384883	-1.604383
mul_spaS_093	38.1041717529297	36.90390975996	36.1670341491699	38.5293235778809	37.6209418404745	36.1667327880859	38.1041717529297	36.9944936291925	36.3607063293457	38.1141357421875	36.9968381070543	36.3530120849609	28.0839443206787	19.2379804013789	13.882173538208	27.1548118591309	19.1049125868699	13.882173538208	0.644312	0.126973	0.039858	0.220189	0.134253	0.064396	37.267342	-1.682075
mul_spaS_095	38.1136245727539	36.9483089775875	36.1908378601074	38.5290565490723	37.6468038521015	36.1857681274414	37.9165000915527	37.0233213753536	36.3980979919434	37.9328002929688	37.0247018485234	36.3952484130859	28.3299198150635	19.3800959258244	13.7812795639038	27.3303089141846	19.2716339505952	14.0746803283691	0.725827	0.139172	0.038655	0.009774	0.008715	0.007896	37.549833	-1.119333
mul_spaS_100	38.1004600524902	37.0008240184565	36.3119163513184	38.3325042724609	37.2608574320003	36.3110656738281	38.0470314025879	37.0754472929856	36.3897285461426	38.0649871826172	37.0875199855059	36.3883018493652	28.4905414581299	19.3689553628023	13.3928747177124	27.1627159118652	19.2247741041512	13.9499483108521	0.653073	0.1255	0.03988	0.544254	0.358789	0.117442	37.656117	-0.691333
mul_spaS_101	38.0808067321777	36.9771827719677	36.304328918457	38.2479820251465	37.182394075211	36.3014526367188	38.0404968261719	37.0494335569184	36.4079246520996	38.0473175048828	37.0567836191462	36.4044876098633	28.5236530303955	19.3648584820758	13.4195871353149	27.0744552612305	19.1947009185265	13.9642572402954	0.648163	0.124156	0.039915	0.347546	0.239846	0.114042	37.631417	-0.6021
mul_spaS_104	38.1136245727539	36.9483089775875	36.1908378601074	38.5290565490723	37.6468038521015	36.1857681274414	37.9165000915527	37.0233213753536	36.3980979919434	37.9328002929688	37.0247018485234	36.3952484130859	28.3299198150635	19.3800959258244	13.7812795639038	27.3303089141846	19.2716339505952	14.0746803283691	0.725827	0.139172	0.038655	0.009774	0.008715	0.007896	37.524472	-1.128778
mul_spaS_105	38.1060905456543	36.9485215592658	36.1922378540039	38.5289421081543	37.6485065781469	36.1871032714844	37.9053497314453	37.0222456833412	36.3902244567871	37.9177932739258	37.0241700797245	36.3872756958008	28.3506412506104	19.3878297175484	13.7953777313232	27.3241596221924	19.2791018518908	14.0976390838623	0.707424	0.136494	0.038942	0.065803	0.04473	0.032147	37.5617	-1.0743
mul_spaS_107	38.1275749206543	36.9531660956898	36.1925735473633	38.5297431945801	37.6469612872042	36.1876220703125	37.9617233276367	37.0315049533186	36.418815612793	37.9766387939453	37.0321952381353	36.4162902832031	28.3123168945312	19.35716596143	13.7742757797241	27.3228492736816	19.2475578702729	14.0213689804077	0.70244	0.135455	0.038807	0.066966	0.045245	0.032129	37.5686	-1.238333
mul_spaS_110	38.0808067321777	36.9771827719677	36.304328918457	38.2479820251465	37.182394075211	36.3014526367188	38.0404968261719	37.0494335569184	36.4079246520996	38.0473175048828	37.0567836191462	36.4044876098633	28.5236530303955	19.3648584820758	13.4195871353149	27.0744552612305	19.1947009185265	13.9642572402954	0.648163	0.124156	0.039915	0.347546	0.239846	0.114042	37.6453	-0.601717
mul_spaS_111	38.0808067321777	36.9771827719677	36.304328918457	38.2479820251465	37.182394075211	36.3014526367188	38.0404968261719	37.0494335569184	36.4079246520996	38.0473175048828	37.0567836191462	36.4044876098633	28.5236530303955	19.3648584820758	13.4195871353149	27.0744552612305	19.1947009185265	13.9642572402954	0.648163	0.124156	0.039915	0.347546	0.239846	0.114042	37.6453	-0.601717
mul_spaS_112	38.0808067321777	36.9771827719677	36.304328918457	38.2479820251465	37.182394075211	36.3014526367188	38.0404968261719	37.0494335569184	36.4079246520996	38.0473175048828	37.0567836191462	36.4044876098633	28.5236530303955	19.3648584820758	13.4195871353149	27.0744552612305	19.1947009185265	13.9642572402954	0.648163	0.124156	0.039915	0.347546	0.239846	0.114042	37.6453	-0.601717
mul_spaS_113	38.0998497009277	36.99456475795	36.2632598876953	38.10009765625	37.0048494338989	36.2620429992676	37.9941177368164	37.0716146797969	36.3899726867676	38.025318145752	37.0837891940413	36.3896675109863	28.5387535095215	19.3782943144612	13.5010938644409	27.2562522888184	19.3006081942854	14.0886859893799	0.682688	0.133495	0.039465	0.39169	0.274442	0.126448	37.568817	-0.800583
mul_spaS_118	38.0880966186523	36.9859985154251	36.2724800109863	38.115364074707	37.0350340935593	36.2713890075684	38.0024147033691	37.0610311837032	36.3829765319824	38.0226783752441	37.0702597344059	36.3825798034668	28.5239067077637	19.3714005015362	13.5060663223267	27.1615715026855	19.256597729387	14.0744867324829	0.657279	0.128928	0.039284	0.045859	0.031604	0.023889	37.55785	-0.730683
